"date_col","air_pressure","air_temperature","relative_humidity","wind_speed","wind_direction","Measured_Upscaled"
2018-12-14,49062.1,101.5,3863.59333333333,240.686666666667,5073.06666666667,1202.027
2018-12-15,48813.2133333333,59.6966666666667,3561.26666666667,393.563333333333,6764.9,3844.328
2018-12-16,48369.03,199.673333333333,4625.37,328.116666666667,8298.8,954.44
2018-12-17,48757.3333333333,372.15,4251.35666666667,290.54,10337.3666666667,4025.136
2018-12-18,48657.78,354.34,3998.71666666667,430.94,7823,5976.025
2018-12-19,48322.32,383.94,4078.37333333333,360.673333333333,8793.93333333333,5826.355
2018-12-20,48345.43,368.383333333333,4245.08,405.296666666667,9245.13333333333,6968.649
2018-12-21,48071.4133333333,490.43,4227.14,512.05,10457.5333333333,12154.664
2018-12-22,48640.75,472.536666666667,4193.68,330.883333333333,11503.4,7971.756
2018-12-23,48787.16,404.673333333333,4548.01333333333,280.64,8799.03333333333,4073.413
2018-12-24,49427.11,364.263333333333,3741.67,157.56,7948,1261.918
2018-12-25,49642.8666666667,205.78,3904.96,159.62,9156,1124.597
2018-12-26,49455.87,152.413333333333,4134.05333333333,195.246666666667,8679.86666666667,1025.65
2018-12-27,49211.2566666667,131.543333333333,3754.81333333333,164.733333333333,8848.5,819.092
2018-12-28,49359.2966666666,172.586666666667,4458.37333333333,173.62,9391.56666666667,737.994
2018-12-29,49445.3066666667,392.7,4381.00333333333,285.73,11367.7666666667,5280.185
2018-12-30,49569.7033333333,386.03,4423.5,208.986666666667,12110.7333333333,2741.645
2018-12-31,49607.9733333334,418.646666666667,4448.73666666667,205.64,12957.5333333333,1396.259
2019-01-01,49513.4,384.396666666667,4012.21666666667,358.74,14096.4,5396.485
2019-01-02,49826.3733333333,317.496666666667,3591.43,391.04,11333.6,4362.717
2019-01-03,49902.08,285.876666666667,3919.93,203.866666666667,3785.8,1122.244
2019-01-04,49828.64,259.34,3714.37333333333,287.503333333333,14800.6,2360.365
2019-01-05,49652.1133333334,300.703333333333,4117.02,306.343333333333,14998.3666666667,4679.348
2019-01-06,49617.4633333333,307.25,3844.24666666667,161.483333333333,13324.2666666667,1563.94
2019-01-07,49418.45,382.643333333333,4392.11,285.883333333333,11566.5666666667,4459.41
2019-01-08,49019.57,366.323333333333,3696.09666666667,570.856666666667,15102.1333333333,11497.999
2019-01-09,49064.5866666667,308.943333333333,3610.76666666667,578.833333333333,7946.13333333334,7330.872
2019-01-10,49273.36,251.72,3808.54666666667,157.986666666667,7751.86666666667,1326.782
2019-01-11,49230.3333333333,349.333333333333,4456.69,277.823333333333,14164.2,3187.097
2019-01-12,48930.4966666667,375.346666666667,4129.15,342.396666666667,12395.8666666667,7359.561
2019-01-13,48439.6933333333,421.373333333333,4189.71333333333,385.586666666667,12759.3,10772.835
2019-01-14,48769.1066666667,320.35,3934.06666666667,322.976666666667,14735.7,5812.037
2019-01-15,48844.0566666666,314.173333333333,4213.53666666667,298.576666666667,10785.9333333333,4797.324
2019-01-16,48294.7033333334,309.583333333333,4174.63333333333,396.453333333333,9927.1,8043.498
2019-01-17,48288.9066666667,234.376666666667,4088.28,417.253333333333,13550.7666666667,6221.541
2019-01-18,48814.7733333334,194.383333333333,4067.66666666667,207.21,10330.6666666667,1015.118
2019-01-19,48591.8333333334,43.9166666666667,4013.25,291.096666666667,6038.43333333333,3068.579
2019-01-20,48765.2966666667,49.1633333333334,3616.61333333333,195.143333333333,4101.5,1768.047
2019-01-21,48970.98,60.53,3611.17,173.856666666667,9159.9,856.356
2019-01-22,48110.75,30.7666666666667,4289.90333333333,391.936666666667,8350.46666666667,5666.952
2019-01-23,47956.5233333333,45.62,4516.35,229.153333333333,3667.56666666667,1059.421
2019-01-24,48474.7233333333,44.0766666666667,4314.62,156.746666666667,9571.93333333334,412.889
2019-01-25,48572.16,113.503333333333,4719.11333333333,265.85,9484.36666666666,2961.727
2019-01-26,48124.6233333334,348.413333333333,4400.55666666667,384.233333333333,10534.1,7352.443
2019-01-27,47360.21,281.563333333333,4106.00666666667,433.83,12498.3666666667,9143.99
2019-01-28,47960.13,213.36,4077.94,513.01,14798.9333333333,9313.338
2019-01-29,48011.6566666667,129.906666666667,3625.69,278.176666666667,8695.43333333333,2810.541
2019-01-30,47655.2,90.85,4185.94333333333,177.85,10315.1666666667,1467.642
2019-01-31,47630.43,-37.9666666666667,4596.19333333333,301.883333333333,7227.26666666667,2130.423
2019-02-01,47369.65,97.63,4523.27666666667,226.503333333333,4513.93333333333,1483.594
2019-02-02,47990.3766666666,202.013333333333,4369.87,427.31,7257.36666666667,2097.822
2019-02-03,48974.3533333333,190.816666666667,3913.31,242.096666666667,11961.8,1801.207
2019-02-04,48997.7533333334,139.1,4062.89,448.206666666667,8966.9,8897.715
